CHP_Biomass_Solid,Combined Heat and Power|Biomass|w/o CCS
CHP_Biomass_Solid_CCS,Combined Heat and Power|Biomass|w/ CCS
CHP_Coal_Hardcoal,Combined Heat and Power|Coal|Hard coal|w/o CCS
CHP_Coal_Hardcoal_CCS,Combined Heat and Power|Coal|Hard coal|w/ CCS
CHP_Coal_Lignite,Combined Heat and Power|Coal|Lignite|w/o CCS
CHP_Coal_Lignite_CCS,Combined Heat and Power|Coal|Lignite|w/ CCS
CHP_Gas_CCGT_Biogas,Combined Heat and Power|Gas|Biomethane|CCGT|w/o CCS
CHP_Gas_CCGT_Biogas_CCS,Combined Heat and Power|Gas|Biomethane|CCGT|w/ CCS
CHP_Gas_CCGT_Natural,Combined Heat and Power|Gas|Fossil|CCGT|w/o CCS
CHP_Gas_CCGT_Natural_CCS,Combined Heat and Power|Gas|Fossil|CCGT|w/ CCS
CHP_Gas_CCGT_SynGas,Combined Heat and Power|Gas|Synthetic Methane|CCGT|w/o CCS
CHP_Hydrogen_FuelCell,Combined Heat and Power|Hydrogen|Fuel Cell
CHP_Oil,Combined Heat and Power|Oil|w/o CCS
D_Battery_Li-Ion,Electricity|Battery|Lithium-Ion
D_Battery_Redox,Electricity|Battery|Redox Flow
D_CAES,Electricity|Compressed Air
D_Gas_H2,Energy Storage System|Hydrogen|Salt Cavern
D_Gas_Methane,Energy Storage System|Methane|Salt Cavern
D_Heat_HLI,Energy Storage System|Heat|Industrial
D_Heat_HB,Energy Storage System|Heat|Residential
D_PHS,Electricity|Pumped Hydro Storage
D_PHS_Residual,Electricity|Pumped Hydro Storage|Residual
FRT_Rail_Conv,Transportation|Freight|Rail|Oil
FRT_Rail_Electric,Transportation|Freight|Rail|Electric
FRT_Road_BEV,Transportation|Freight|Road|Electric|Battery
FRT_Road_H2,Transportation|Freight|Road|Electric|Fuel Cell
FRT_Road_ICE,Transportation|Freight|Road|Internal Combustion Engine|Oil
FRT_Road_LNG,Transportation|Freight|Road|Internal Combustion Engine|LNG
FRT_Road_OH,Transportation|Freight|Road|Electric|Overhead
FRT_Road_PHEV,Transportation|Freight|Road|Plugin Hybrid
FRT_Ship_Bio,Transportation|Freight|Maritime|Biofuels
FRT_Ship_Conv,Transportation|Freight|Maritime|Oil
